Date,City,Temperature (C),Humidity (%),Weather Description
2025-05-12 23:18:04,Bangalore,24.08,77,overcast clouds
2025-05-12 18:32:16,Bangalore,23.81,80,overcast clouds
2025-05-13 02:39:42,Bangalore,22.95,81,broken clouds
2025-05-13 05:18:33,Bangalore,29.61,55,broken clouds
2025-05-13 06:27:34,Bangalore,30.57,55,scattered clouds
2025-05-13 07:19:08,Bangalore,31.16,52,clear sky
2025-05-13 08:26:14,Bangalore,31.84,55,clear sky
2025-05-13 09:20:24,Bangalore,32.43,40,clear sky
2025-05-13 10:20:29,Bangalore,31.87,40,few clouds
2025-05-13 11:16:16,Bangalore,31.87,41,moderate rain
2025-05-13 12:39:23,Bangalore,31.87,42,broken clouds
2025-05-13 13:31:47,Bangalore,30.55,54,broken clouds
2025-05-13 14:19:32,Bangalore,30.55,54,broken clouds
2025-05-13 15:19:55,Bangalore,30.52,55,broken clouds
2025-05-13 16:24:44,Bangalore,24.62,79,broken clouds
2025-05-13 18:19:09,Bangalore,30.5,55,light rain
2025-05-13 19:10:44,Bangalore,29.08,53,overcast clouds
2025-05-13 20:14:45,Bangalore,28.53,54,overcast clouds
2025-05-13 21:12:13,Bangalore,28.53,54,broken clouds
2025-05-13 22:12:52,Bangalore,21.66,64,broken clouds
